step,time_ps,signed_volume_nm3,improper_deg,potential_kj_mol
0,0.0,0.002478557570745264,32.45018845160786,295.26547886172114
1000,1.0,0.002392494284794558,31.1111205603727,329.8143739936027
2000,2.0,0.0023676622191547095,28.643891015396164,353.6896425320434
3000,3.0,0.002562926798441813,33.1768242664361,338.29502640728964
4000,4.0,0.002713215886116986,33.79210911642179,338.79554889299743
5000,5.0,0.002475770200961582,30.68454575403345,347.0840633771904
6000,6.0,0.0025487284310871127,32.778222984277086,372.1548552099046
7000,7.0,0.00262073327592624,34.73310787395878,357.83424542701977
8000,8.0,0.002470143401861093,31.32872565663552,369.1692658070026
9000,9.0,0.0026693516955817245,32.516406010046914,341.11762054537803
10000,10.0,0.0024245125021160625,30.995456722775685,348.61872317997694
11000,11.0,0.0023403917442165996,30.637272168736146,348.6469135257132
12000,12.0,0.0022093908708995763,30.497265833237535,344.34370937280636
13000,13.0,0.002344625491668877,29.42254297023486,363.60422544519884
14000,14.0,0.0026362000794787448,33.76905098686421,365.2580720195231
15000,15.0,0.0020545347025876307,30.534732781356663,356.75659872714675
16000,16.0,0.0024838637958511482,32.10417400566031,367.630611835757
17000,17.0,0.002768726531515083,31.23674047811111,359.8221535448034
18000,18.0,0.0022913517163935873,30.647050641391324,360.7618778003157
19000,19.0,0.002288618632022488,29.21390921914707,425.7366448064698
20000,20.0,0.002633920151169607,34.791401650261925,346.41666581085406
21000,21.0,0.0025812764762582763,30.397108509400088,331.22090662370863
22000,22.0,0.002570880033684005,34.15703919846388,344.9786436628001
23000,23.0,0.002469567490217285,31.14206943583617,354.7590656037029
24000,24.0,0.002354258845436428,34.183982349277684,349.108364958919
25000,25.0,0.0026645020800866595,30.993524218459086,349.88800113359844
26000,26.0,0.0024113193818128768,31.842913972513042,366.8275827214056
27000,27.0,0.002362330027951865,34.12278243827178,355.8772739231776
28000,28.0,0.0022578602884270995,30.84653502038337,353.5402016883756
29000,29.0,0.0022344915141083903,30.075773781074247,332.564409051267
30000,30.0,0.0021641435022527506,29.807074151432758,323.73489755749216
31000,31.0,0.002596361518797648,33.03856729459273,334.1448130748365
32000,32.0,0.002444462885551987,30.502598462764507,337.36705083965205
33000,33.0,0.0025079670077148256,29.64059228210066,345.59331129738837
