step,time_ps,signed_volume_nm3,improper_deg,potential_kj_mol
0,0.0,-0.002496946866737699,32.95926149508566,300.5566941042237
1000,1.0,-0.0023622949224963398,33.68176660244777,334.83217530597125
2000,2.0,-0.0023634130577723004,29.347977756069177,337.69500265364456
3000,3.0,-0.002626426337327252,36.42907961966266,329.1941771458637
4000,4.0,-0.0024730397241241667,33.935501540898144,329.10724254964293
5000,5.0,-0.0025088211410846765,33.362257820266635,350.7705298210474
6000,6.0,-0.0026853515878715434,32.692647885407695,341.34026902836615
7000,7.0,-0.0025768454573322206,32.4744373245467,335.45145110671194
8000,8.0,-0.002584540554867094,31.558338035841967,334.9790922396232
9000,9.0,-0.0023253388989518467,31.84157710398489,326.0452573733823
10000,10.0,-0.002574077722951506,34.0664545888362,324.87830427108815
11000,11.0,-0.0026729677367224695,35.248562393874934,342.71373028817527
12000,12.0,-0.0025207931775935053,32.46956721341122,308.7835990578019
13000,13.0,-0.002461963314814732,33.26265952714168,333.52552742236264
14000,14.0,-0.0026281749516019214,35.759507247102796,316.97148315380525
15000,15.0,-0.0025506282690900945,32.766133564154885,324.34976854658845
16000,16.0,-0.0024675607780394833,33.37310976538703,335.9695921045321
17000,17.0,-0.00228397072132889,32.31788989375964,347.96670456361164
18000,18.0,-0.0025418873738699546,31.92397933536717,324.34359230725
19000,19.0,-0.0023333373035807742,33.829101223284276,318.38733168028585
20000,20.0,-0.0023344248961651415,30.97847763048349,334.96982932366467
21000,21.0,-0.002535687931222171,34.68189345484406,324.6029475598608
22000,22.0,-0.0023849302408876258,35.78213749240992,313.13835961026456
23000,23.0,-0.002543246040963937,35.361232277371094,343.914097325396
24000,24.0,-0.002488132637099705,34.57293508105242,334.7021392993053
25000,25.0,-0.002146434363864612,30.485776563152417,311.2746196031319
26000,26.0,-0.0023631836151186323,31.34852700548912,318.5636257537072
27000,27.0,-0.0025651488648962746,32.94018165448559,321.4883850904593
28000,28.0,-0.002686600181466425,31.765439270313735,335.9591691718933
29000,29.0,-0.002323558663238617,34.85768922447002,328.0552881786433
30000,30.0,-0.0026181232236799183,37.52648579437464,325.8397234677176
31000,31.0,-0.002445747976801598,33.10916411202991,333.7290514180823
32000,32.0,-0.002450168020354758,31.05699963758821,352.32684548355434
33000,33.0,-0.0022311131281951015,31.254760426394785,332.981894190057
34000,34.0,-0.002613598466280957,34.982379673877006,322.5032830369024
35000,35.0,-0.001883678518116435,27.006175870954262,340.41929233648995
36000,36.0,-0.0025878265597331328,35.32713299050068,326.5792036212087
