cycle,time_ps,state,lambda_meso,lambda_threo,selected_probability,energy_selected_kj_mol,meso_signed_volume_nm3,threo_signed_volume_nm3,meso_improper_deg,threo_improper_deg,bias_increment
15,5.15,10,1.0,0.0,1.0,-157099.1504913198,-0.002199050358337878,0.0025241615359121884,29.38927869691744,38.671083287926564,5.0
16,5.16,10,1.0,0.0,1.0,-157028.62029028818,-0.002261505060978295,0.002595788423015097,29.24492684142368,38.05989560643336,5.0
17,5.17,10,1.0,0.0,0.9999999999998637,-157021.49520192025,-0.0021936664786781244,0.002521070080557861,30.58250316041772,35.95585218909967,5.0
18,5.18,10,1.0,0.0,0.9999999999941755,-157066.894018052,-0.0024617001665825475,0.002478221507695829,33.14889270812936,35.63532436831951,5.0
19,5.19,10,1.0,0.0,0.9999999991501294,-156993.53743587268,-0.002410124089647006,0.0026176759747861367,31.97027980269283,35.28475189908939,5.0
20,5.2,10,1.0,0.0,0.9999999999390861,-157062.89871632884,-0.0021532115252220893,0.002600858663988495,31.500840737796935,36.27426027675566,5.0
21,5.21,10,1.0,0.0,0.999999877895168,-156994.11613483846,-0.0024091967459362214,0.00258773445554727,34.01968826070207,33.927741187026975,5.0
22,5.22,10,1.0,0.0,0.9999627414257419,-157065.97714708615,-0.002330400095462693,0.002715235393157483,30.179446055995538,35.013641483750796,5.0
23,5.23,9,0.9,0.09999999999999998,0.8308141199747591,-156758.34132893392,-0.002338406731791311,0.0024218389597906306,30.614958088598964,32.8558519979319,5.0
24,5.24,10,1.0,0.0,0.9139187791929949,-156924.21049361257,-0.0025953790945496494,0.0026038963567846067,34.845379340460525,33.13444018719463,5.0
25,5.25,9,0.9,0.09999999999999998,0.2372400942399511,-156663.4792304881,-0.00233806112772835,0.002564119448524761,34.31512134440846,32.94081240166596,5.0
26,5.26,10,1.0,0.0,0.9911866401494399,-157034.5244387941,-0.0020495526267432533,0.002597656872814047,28.760370926528864,35.48377863640216,5.0
27,5.27,10,1.0,0.0,0.9893159612769673,-157077.79039439184,-0.00232888052618238,0.002595061409464878,29.930706247764064,35.8694654888699,5.0
28,5.28,10,1.0,0.0,0.19339353498710599,-156967.7493627662,-0.0023459283013176264,0.0024021984561256845,32.939104007849224,36.474004673761804,5.0
29,5.29,9,0.9,0.09999999999999998,0.9573153920583699,-156655.94011649565,-0.00240729001211774,0.0024911987958772916,31.658572299555797,32.579488987214354,5.0
30,5.3,9,0.9,0.09999999999999998,0.9998012891885539,-156740.39423804023,-0.002111166501267171,0.002632611299529858,29.380593527293833,35.007861216515906,5.0
31,5.31,9,0.9,0.09999999999999998,0.9999995416584262,-156664.7138716384,-0.0022509201810837053,0.002327183914466523,31.722195716950694,30.097684355216078,5.0
32,5.32,9,0.9,0.09999999999999998,0.9936010271769016,-156846.27507358452,-0.002462441119119463,0.002445435390995805,34.08235148396302,31.059095154705442,5.0
33,5.33,10,1.0,0.0,0.8329499665448848,-157062.04022860364,-0.0020967322445914947,0.0025537989482721083,28.866438062232135,32.22211217516109,5.0
34,5.34,9,0.9,0.09999999999999998,0.8112203501976486,-156590.92833346568,-0.002303945864123391,0.0023550943933971225,28.365762505434223,30.788875696140913,5.0
35,5.35,9,0.9,0.09999999999999998,0.879221085326652,-156736.4311723554,-0.002694887221849792,0.0020402915035624336,34.225911038624496,25.541570221740272,5.0
36,5.36,10,1.0,0.0,0.9156043411545819,-157021.25712275624,-0.002075473579103827,0.0023322777260765945,29.487254096570812,29.71125075251211,5.0
37,5.37,10,1.0,0.0,0.9983392241809916,-156955.4836257093,-0.002267180019802897,0.002771658271338394,32.50521680380569,32.22935441288712,5.0
38,5.38,10,1.0,0.0,0.9999888921482134,-157075.26702440353,-0.0023100691142052114,0.002630975542873631,30.481862908067555,30.162680510294884,5.0
39,5.39,10,1.0,0.0,0.9901848449066903,-156934.2566351075,-0.0023094997099236776,0.0021539904350531595,30.878390702705264,29.435678240587222,5.0
40,5.4,10,1.0,0.0,0.6602101553411875,-157033.05929798796,-0.002531010270027554,0.0023955470825314405,31.745973149707606,31.571163857897588,5.0
41,5.41,9,0.9,0.09999999999999998,0.8361215646356238,-156617.6358820007,-0.002023741160798406,0.0026207703123233084,29.997376964703623,36.932923748533256,5.0
42,5.42,9,0.9,0.09999999999999998,0.8844196509092809,-156643.63309385403,-0.0021042082564432926,0.0024502562372283286,30.97721188812962,34.148496229806454,5.0
43,5.43,9,0.9,0.09999999999999998,0.9665723606167641,-156761.3435773274,-0.002487778269025306,0.002576738304147546,33.37228488443991,35.759238596270464,5.0
44,5.44,10,1.0,0.0,0.28644798374346137,-157058.2539504332,-0.0022214504951616433,0.002389471998273408,29.250874278918783,31.79825458444036,5.0
45,5.45,9,0.9,0.09999999999999998,0.4224855956644893,-156661.62176391596,-0.0023278119570463427,0.002531308479795614,31.09929238702044,33.321313993613295,5.0
46,5.46,8,0.8,0.19999999999999996,0.9893016760771755,-156545.08097769943,-0.002376186732517306,0.002455465494423873,31.802703804107466,32.35687642876944,5.0
47,5.47,8,0.8,0.19999999999999996,0.9225654554027949,-156611.69435269095,-0.002406933457059486,0.002581836503134404,33.98440540914779,33.98667718035642,5.0
48,5.48,8,0.8,0.19999999999999996,0.8728064931639168,-156572.01064248127,-0.002444549924839229,0.00282265659012111,32.61145001256189,33.58962813868367,5.0
49,5.49,9,0.9,0.09999999999999998,0.7950597204277756,-156501.68303365022,-0.0022616877285208696,0.0025339340481052093,31.396225885346347,32.493018534057946,5.0
50,5.5,9,0.9,0.09999999999999998,0.3210396173509218,-156715.49625105245,-0.0026528172308257466,0.0022648780285507504,34.42401588540653,29.521191892133512,5.0
51,5.51,8,0.8,0.19999999999999996,0.9313213020977471,-156647.74358497778,-0.0025517570946593077,0.0023842684795298804,34.7653037427921,31.310237600639013,5.0
52,5.52,10,1.0,0.0,0.2398624031676544,-157025.06464540111,-0.0020249425333194477,0.0025275728196650013,28.378801923355805,30.43568722324262,5.0
53,5.53,10,1.0,0.0,0.6846695748113774,-157012.56775259506,-0.0020267184324640536,0.002707906999395309,28.555555999274638,33.60393889483307,5.0
54,5.54,10,1.0,0.0,0.9711309942817294,-156844.44210425566,-0.002450661409925534,0.0022874229285269627,31.184637102912294,28.23270494172024,5.0
55,5.55,8,0.8,0.19999999999999996,0.03670700631416211,-156526.1320740222,-0.0023146439958068553,0.001864297674927524,29.785517924269524,26.131093648945214,5.0
56,5.56,9,0.9,0.09999999999999998,0.9511274435769784,-156604.4713078149,-0.002054089203557275,0.002367307089962036,28.214430836672932,30.847386689178183,5.0
57,5.57,8,0.8,0.19999999999999996,0.9829437979875912,-156492.5471067326,-0.0021112112164855096,0.0026336023444397793,28.981982606049414,31.40045197708242,5.0
58,5.58,9,0.9,0.09999999999999998,0.9523241939418086,-156628.42629002413,-0.0022954415903352053,0.002045572697494839,33.8534678138225,25.61985323129232,5.0
59,5.59,8,0.8,0.19999999999999996,0.9782392428306586,-156563.2154414558,-0.0023528024594465257,0.0017861530991281657,31.93663674036611,22.046028645269576,5.0
60,5.6,10,1.0,0.0,0.5993224830235306,-156905.88934945327,-0.002233195395004347,0.0022203673037461185,30.40714053427723,26.574137178591844,5.0
